trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,True,"{'a': 0.0, 'e': 0.0}",20,3,27.901264842771454,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,True,"{'a': 0.0, 'e': 0.0}",20,7,22.781097320050197,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,True,"{'a': 0.0, 'e': 0.0}",25,18,11.850647399349043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,True,"{'a': 0.0, 'e': 0.0}",20,14,9.02459027703157,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,True,"{'a': 0.0, 'e': 0.0}",20,12,13.420905653737787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,True,"{'a': 0.0, 'e': 0.0}",25,20,5.92287289436724,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,True,"{'a': 0.0, 'e': 0.0}",25,0,37.38313287064578,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,True,"{'a': 0.0, 'e': 0.0}",25,19,8.524114039855208,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,True,"{'a': 0.0, 'e': 0.0}",25,14,14.997423416476963,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,True,"{'a': 0.0, 'e': 0.0}",20,6,28.238433030834056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,True,"{'a': 0.0, 'e': 0.0}",20,11,13.506602751501386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,True,"{'a': 0.0, 'e': 0.0}",20,1,35.56676834556134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,True,"{'a': 0.0, 'e': 0.0}",30,16,24.476533888138224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,True,"{'a': 0.0, 'e': 0.0}",20,5,23.36818308355771,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,True,"{'a': 0.0, 'e': 0.0}",20,6,22.02140712657895,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,True,"{'a': 0.0, 'e': 0.0}",20,7,20.95475962761843,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,True,"{'a': 0.0, 'e': 0.0}",20,14,8.803333562946738,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,True,"{'a': 0.0, 'e': 0.0}",25,14,21.447847702988728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,True,"{'a': 0.0, 'e': 0.0}",25,7,29.627347045200167,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,True,"{'a': 0.0, 'e': 0.0}",30,15,26.820100040952582,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,True,"{'a': 0.0, 'e': 0.0}",20,14,11.486397222815574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,True,"{'a': 0.0, 'e': 0.0}",25,13,23.32450152671637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
